,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,Country,Country coordinates,Location_Status
800,808,10/05/1945,1945,01:05,"Lakeland, Florida",National Airlines,Miami - Jacksonville,Lockheed 18 Lodestar,Lockheed,NC18199,2265,15.0,12.0,3.0,2,2.0,0.0,0.0,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.,"(28.071323, -81.945678)",26.09946134955459,-83.38259958140401,United States,United States,correct location
801,809,10/05/1945,1945,12:50,"Elvetham, England",Military -Royal Air Force,England - Prague,Consolidated LB-40-A Liberator,Consolidated,,,23.0,18.0,5.0,23,18.0,5.0,0.0,Cashed and burned shortly after takeoff after experiencing an engine fire in the No. 2 engine.,"(51.296953, -0.863585)",47.592779134233496,5.195907622261911,United Kingdom,United Kingdom,correct location
802,810,10/07/1945,1945,00:30,"Rennes, France",Military - Royal Air Force,London - Cairo,Short Stirling IV,Short,LJ668,,26.0,20.0,6.0,26,20.0,6.0,0.0,Lost altitude while in a turn and attempting to land and crashed and burned short of the runway.,"(48.110805, -1.665857)",51.52451686578068,-4.571973299965343,France,France,correct location
803,811,10/13/1945,1945,20:45,"Melsbroek, Belgium",Military -Royal Air Force,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,Consolidated,KL595,,31.0,25.0,6.0,31,25.0,6.0,0.0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.,"(50.91559, 4.47985)",50.003213371825524,-2.166684633956332,Belgium,Belgium,correct location
804,812,10/16/1945,1945,11:30,"Peking, China",Military - U.S. Army Air Forces,Hankou - Peking,Curtiss-Wright C-46F-CU,Curtiss Wright,44-78591,22414,59.0,55.0,4.0,59,55.0,4.0,0.0,Struck a radio transmission tower while on approach for landing at Nanyman field after encountering low clouds and poor visibility.,"(39.937967, 116.417592)",48.13789317691845,109.42312817359469,China,China,correct location
805,813,10/20/1945,1945,,"Between Shanghi and Canton, China",China National Aviation Corporation,Shanghai - Canton,Douglas C-47,Douglas,,,31.0,28.0,3.0,31,28.0,3.0,0.0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions.","(32.366802, -90.140708)",37.042825554598224,-90.95036992209953,China,United States,not correct location
806,814,10/20/1945,1945,,"Timor Sea, Atlantic Ocean",Military - Royal Australian Air Force,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,Douglas,A65-83,16127/32875,25.0,21.0,4.0,25,21.0,4.0,0.0,Disappeared en route.,"(-10.977977, 127.713)",-14.023745055869323,126.86066753779635,Atlantic Ocean,,not correct location
807,815,10/23/1945,1945,,"Chiringa, India",Military - Royal Air Force,,Douglas C-47B,Douglas,KJ957,14804/26249,14.0,12.0,2.0,14,12.0,2.0,0.0,Penetrated a thunderstorm and broke-up.,"(21.76459, 92.07612)",18.46955472663222,98.69500445807687,India,Bangladesh,not correct location
808,816,10/24/1945,1945,,"Valetta, Malta",BOAC,London - Valetta - Cairo,Douglas C-47 Skytrain (DC-3),Douglas,G-AGHR,10097,16.0,13.0,3.0,9,9.0,0.0,0.0,The engine failed on takeoff and the plane stalled and crashed.,"(-43.774942, 171.506324)",-39.31508972440331,166.32203948894949,Malta,New Zealand,not correct location
809,817,10/24/1945,1945,,"Tarapoto, Peru",Faucett,,Faucett F-19,Other,OB-PAG-139,24,5.0,4.0,1.0,5,4.0,1.0,0.0,Crashed on takeoff.,"(-6.486743, -76.362747)",-7.000438008261524,-74.78731584000649,Peru,Peru,correct location
811,819,11/01/1945,1945,15:30,"Herrenalb, Germany",Military - U.S. Army Air Forces,Bovingdon - Schleissheim,Douglas C-47A-DK,Douglas,42-93041,12909,30.0,26.0,4.0,26,22.0,4.0,0.0,The crew descended through low overcast to obtain their position.  Followed an river and crashed into wooded mountainside.  Navigator error in not informing the pilot of high terrain.,"(48.803953, 8.443119)",57.927650532336,10.116303833442833,Germany,Germany,correct location
812,820,11/03/1945,1945,02:00,"Chuka, India",Military - U.S. Army Air Forces,Chabua - Karachi,Douglas C-54G,Douglas,45528A,35981,44.0,40.0,4.0,44,40.0,4.0,0.0,Crashed into the Himalaysas and burned while en route. Wreckage found a month later.,"(-0.33316, 37.64588)",4.78753202145112,37.98211209840164,India,Kenya,not correct location
813,821,11/07/1945,1945,11:15,"Grants, New Mexico",National Skyway Freight Co.,Alberquerque -,Budd RB-1 Conestoga,Other,,,3.0,0.0,3.0,1,0.0,1.0,0.0,"After refueling in Alberquerque, the plane, carrying magazins to the west coast, crashed and burned after encountering snow and strong winds. The flight engineer survived.","(35.155712, -107.828506)",33.90711011877708,-102.26879823107431,United States,United States,correct location
814,822,11/08/1945,1945,20:00,"Corpus Christi, Texas",Military - U.S. Navy / Military - U.S. Navy,,Martin PBM-3S  / Martin PBM-5,Martin,01710 / 69113,,27.0,,,22,,,0.0,The aircraft expierence a midair collision over Corpus Christi Bay while on a training flight.,"(27.734637, -97.313642)",15.229060699439653,-100.56716960078901,United States,United States,correct location
816,824,11/11/1945,1945,23:45,"Castel, Libya",Military -Royal Air Force,,Short Stirling,Short,PJ950,,29.0,22.0,7.0,29,22.0,7.0,0.0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned.","(51.483248, -3.180582)",45.87777309600779,-1.5573373764741425,Libya,United Kingdom,not correct location
817,825,11/11/1945,1945,,Himalayas,Military - U.S. Army,"Chabau, India - Karachi, Pakistan",Douglas C-54,Douglas,,,44.0,,,44,,,0.0,"Crashed into a mountain ridge 200 ft. short of the summit, bounced over the top and crashed down the other side while  en route.","(27.985688, 86.916337)",30.815223006217703,87.2631618087583,Himalayas,Nepal,not correct location
818,826,11/11/1945,1945,12:00,"Picinisco, Italy",Military - U.S. Army Air Forces,France - Athens,Boeing B-17G,Boeing,43-9197,10175,20.0,16.0,4.0,20,16.0,4.0,0.0,The plane disappeared after the pilot radioed he was exeriencing heavy icing and asked to divert to Rome.  The plane was found 5 months later on Mt. Meta.,"(41.644431, 13.868874)",37.905376944232465,8.828603348545098,Italy,Italy,correct location
819,827,11/13/1945,1945,20:15,"Tacloban, Philippines",Australian National Airways,,Douglas C-48,Douglas,VH-CDC,,17.0,14.0,3.0,16,13.0,3.0,,"Crashed into the sea afte an aborted landing at the island of Leyte. The plane touched down hard, pulled up, circled and crashed into the sea. Pilot error. Decision to land in unfavorable weather.","(11.25006, 124.953073)",2.386684325944316,129.5542114341454,Philippines,Philippines,correct location
820,828,11/15/1945,1945,09:14,Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,Douglas,A6554,26640,28.0,25.0,3.0,28,25.0,3.0,0.0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board.","(9.31667, -82.16667)",13.446683126113957,-80.91807332376968,Jacquinot Bay  New Guinea,Panama,not correct location
821,829,11/22/1945,1945,10:00,"White's Farm, England",Military -Royal Air Force,Merryfield - Bombay,Consolidated LB-30A Liberator,Consolidated,KH126,,27.0,22.0,5.0,27,22.0,5.0,0.0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude.","(40.235577, -75.295484)",46.61869635622021,-71.68730517649358,United Kingdom,United States,not correct location
822,830,12/03/1945,1945,13:30,"Rochefort , France",Military -Royal Air Force,"India - Cambridge, England",Consolidated LB-30A Liberator,Consolidated,KH125,,28.0,23.0,5.0,28,23.0,5.0,0.0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.,"(45.944305, -0.968144)",43.01510133345942,2.3875721215865675,France,France,correct location
823,831,12/05/1945,1945,20:00,the Florida coast,Military - U.S. Navy,,Five Grumman TBM Avengers,Other,,,14.0,0.0,14.0,14,0.0,14.0,0.0,"The five aircraft, (23307) (73209) (46325) (46094) (45714), flying out of the U.S. Naval Air Station at Fort Lauderdale, on a training mission,  became lost, ran out of fuel and crashed into the Atlantic Ocean.  No trace of the planes were ever found. This was the incident that began the ""Bermuda Triangle"" legend.","(50.441999, -3.559915)",53.760842668420544,-3.077768960807726,the Florida coast,United Kingdom,not correct location
824,832,12/08/1945,1945,01:13,"Billings, Montana",Military - U.S. Army,Minneapolis - Fargo - Billings,Douglas C-47,Douglas,45-0922,16925/34183,21.0,19.0,2.0,17,15.0,2.0,0.0,Crashed into a field after hitting trees while attempting to land in a snowstorm.,"(45.774972, -108.55997)",38.28202699241609,-106.57259466017636,United States,United States,correct location
825,833,12/18/1945,1945,10:10,"Voksenkollen, Norway",Military - Royal Air Force,Down Ampney - Copenhagen - Oslo,Douglas C-47B,Douglas,KN413,16090/32838,17.0,13.0,4.0,17,13.0,4.0,0.0,Flew into the side of a hill after icing caused loss of power while attempting to land.,"(59.980063, 10.665297)",60.01097300143165,21.80323437691319,Norway,Norway,correct location
826,834,12/25/1945,1945,19:30,"Bangui, French Equatorial Africa",Air France, Paris - NÃ¢ÂÂDjamena - Bangui - Antananarivo,Lockheed 18 Lodestar,Lockheed,F-BALV,2380,8.0,5.0,3.0,8,5.0,3.0,0.0,The aircraft went out of control and crashed in a wooded area located about 60 km west of Bangui Airport.,"(4.370245, 18.571353)",8.414660291665164,22.54834562026058,French Equatorial Africa,Central African Republic,not correct location
827,835,12/25/1945,1945,,"Dudinka, Russia",Polyarnya Aviatsiya,,Douglas DC-3,Douglas,,,10.0,6.0,4.0,10,6.0,4.0,0.0,Crashed 50 miles northwest of Norilsk after catching fire in the air.,"(69.404348, 86.177767)",76.79231354636939,86.5450880933565,Russia,Russia,correct location
828,836,12/30/1945,1945,21:13,"New York City, New York",Eastern Air Lines,Philadelphia - New York City,Douglas DC-3,Douglas,NC18l23,1999,12.0,9.0,3.0,1,1.0,0.0,0.0,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast.","(40.68295, -73.9708)",44.26217996424484,-69.96171586515388,United States,United States,correct location
829,837,01/06/1946,1946,03:59,"Birmingham, Alabama",Pennsylvania Central Airlines,"New York City - Birmingham, AL",Douglas DC-3,Douglas,N21786,4131,11.0,7.0,4.0,3,0.0,3.0,0.0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast.","(52.478308, -1.893538)",54.78856934577962,2.5126962554444483,United States,United Kingdom,not correct location
830,838,01/09/1946,1946,,"Changchun, China",Military - Chinese Air Force,,Douglas C-47,Douglas,,,18.0,,,18,,,0.0,,"(43.853493, 125.309144)",49.97459563964867,121.98567176912567,China,China,correct location
831,839,01/14/1946,1946,,"Netrubezh, Russia",Aeroflot,"Kharkov, Ukraine - Moscow",Lisunov Li-2,GAZ,SSSR-4150,,22.0,17.0,5.0,22,17.0,5.0,0.0,Experienced severe icing resulting in buffeting and structural failure.,"(52.21101, 36.96812)",49.2602682714294,46.21951790067148,Russia,Russia,correct location
832,840,01/15/1946,1946,18:25,"Marseilles, France",Military -Royal Air Force,,Douglas C-47 Dakota,Douglas,KN557,33171,25.0,21.0,4.0,23,19.0,4.0,0.0,Crashed into a mountainside in a snowstorm.,"(43.295314, 5.401581)",46.11112510274941,10.863204098341676,France,France,correct location
833,841,01/18/1946,1946,11:03,"Cheshire, Connecticut",Eastern Air Lines,New York - Boston,Douglas DC-3-201E,Douglas,NC19970,3254,17.0,14.0,3.0,17,14.0,3.0,0.0,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing.","(53.208788, -2.571892)",47.401816626714506,-4.8593478468773155,United States,United Kingdom,not correct location
834,842,01/19/1946,1946,,"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,"Comox, BC - Greenwood,NS",Douglas DC-3 Dakota,Douglas,,,7.0,0.0,7.0,7,0.0,7.0,0.0,Collided with Mt. Ptolemy while en route.,"(49.60422, -114.5214)",57.855365956859046,-119.6652557630276,Canada,Canada,correct location
835,843,01/30/1946,1946,,"Le Mans, France",Military - Royal Air Force,,Douglas C-47B,Douglas,KN500,16277/33025,11.0,,,11,,,0.0,,"(47.986684, 0.200717)",41.78379506539327,13.148881669419493,France,France,correct location
836,844,01/31/1946,1946,02:47,"Mt. Elk, Wyoming",United Air Lines,Boise - Denver,Douglas DC-3-194H,Douglas,NC25675,2147,21.0,18.0,3.0,21,18.0,3.0,0.0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL.","(42.063601, -87.937498)",39.08475053641274,-85.8126679533869,United States,United States,correct location
837,845,02/05/1946,1946,,"Negros, Philippines",Military - U.S. Army Air Forces,Iloilo - Cebu,Douglas C-47,Douglas,,,20.0,16.0,4.0,20,16.0,4.0,0.0,Crashed into mountainous terrain while en route.,"(-7.71667, -38.4)",-14.00730888186542,-43.185151704711586,Philippines,Brazil,not correct location
838,846,02/21/1946,1946,,"Charlottetown, PE, Canada",British Overseas Airways,,Consolidated 32-2 Liberator II,Consolidated,G-AGEM,26,14.0,,,1,,,0.0,Crashed while attempting to land. Icing.,"(48.4332, -54.01481)",47.56808629380792,-55.32122209662246,Canada,Canada,correct location
839,847,03/03/1946,1946,08:12,"Live Oak Springs, California",American Airlines,Dallas - Tucon - San Diego,Douglas DC-3-227B,Douglas,NC21799,2203,27.0,24.0,3.0,27,24.0,3.0,0.0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined.","(32.69061, -116.33446)",34.972351679919946,-108.83686397081472,United States,United States,correct location
840,848,03/05/1946,1946,17:00,"Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Paris - Prauge,Junkers JU-52/3m,Junkers,OK-ZDN,,15.0,11.0,4.0,12,10.0,2.0,0.0,Crashed and burned while approaching Ruzyne Aerodome to land after experiencing engine problems.,"(50.06694, 14.460249)",51.82270319587949,21.894285183819857,Czechoslovakia,Czechia,not correct location
841,849,03/10/1946,1946,20:55,"Hobart, Tasmania",Australian National Airways,Hobart - Melbourne,Douglas DC-3 (C-47DL),Douglas,VH-AET,6013,25.0,21.0,4.0,25,21.0,4.0,0.0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.,"(-42.882256, 147.325986)",-45.03320104157561,148.34802152279553,Tasmania,Australia,not correct location
842,850,03/17/1946,1946,,"Nanking, China",Military - Chinese Air Force,Shanghai - Nanking,,Missing value,,,20.0,,,20,,,0.0,Crashed into mountainous terrain in low visibility while en route.,"(53.079915, 8.800051)",49.36860431656787,17.309196776721464,China,Germany,not correct location
843,852,03/19/1946,1946,11:45,"Hobart Mills, California",Military - U.S. Army Air Forces,"Stockton, CA - Ogden, UT",Douglas C-47B,Douglas,45-1085,,26.0,23.0,3.0,26,23.0,3.0,0.0,The aircraft lost its right wing and disintegrated over Donner Summit for reasons unknown.,"(39.40046, -120.18381)",35.77325694313715,-126.08930663492688,United States,United States,correct location
844,853,03/23/1946,1946,,"Ceylon, Cocos Islands, Indian Ocean",British Overseas Airways /Qantas,Karachi - Australia,Avro 691 Lancastrian 1,Avro,G-AGLX,1178,10.0,5.0,5.0,10,5.0,5.0,0.0,Disappeared between Ceylon and the Cocos Islands while en route. Aircraft owned by BOAC and operated by both airlines on Sydney-London services (BOAC crews operated London-Karachi and Qantas crews Karachi-Sydney).,"(7.622919, 80.68822)",-4.0120093532866665,86.07415389744087,Indian Ocean,Sri Lanka,not correct location
845,854,04/01/1946,1946,10:00,"near Craigavad, Northern Ireland",Railway Air Services Ltd.,Liverpool - Belfast,de Hvilland 89A Dragon Rapide,deHavilland,G-AERZ,,6.0,4.0,2.0,6,4.0,2.0,0.0,Crashed 5 miles north northeast of belfast while attempting to land in advese weather. Pilot error. The pilot failed to maintain a course necessary to avoid higher terrain.,"(31.86723, 76.05246)",34.04894826989564,78.71325205423022,Northern Ireland,India,not correct location
846,855,04/05/1946,1946,11:15,"Rabat, Malta",Military - Royal British Navy,,Vickers Wellington bomber,Vickers,HE-274,,4.0,0.0,4.0,4,0.0,4.0,16.0,"The Wellington was engaged in exercises with a Spitfire fighter. The fighter was using the Wellington as a dummy target and the Wellington was to take evasive action. When the bomber was between 4,000 and 5,000 feet altitude, it turned to port and started diving at 20 degrees. It kept on loosing altitude till it crashed into houses in the center of Rabat. No distress signal was transmitted to either the fighter pilot or ground control.  The probable cause of the accident was leakage of hydraulic fluid which somehow heated and released fumes in the cockpit rendering the crew unconcious.","(33.970785, -6.842736)",35.91504652840725,1.8618359867197736,Malta,Morocco,not correct location
848,857,04/22/1946,1946,,"La Liberiad, Nicaragua",TACA,La Liberiad - Managua,Lockheed 14 Super Electra,Lockheed,AN-ACC,,21.0,18.0,3.0,20,17.0,3.0,0.0,Crashed on takeoff.,"(-16.5, -68.15)",-24.22138084466345,-72.98738015933723,Nicaragua,Bolivia,not correct location
849,858,04/30/1946,1946,,"Pindi-Khut ,India",Military - Royal Air Force,,Douglas C-47A,Douglas, FZ559,12094,12.0,,,12,,,0.0,Broke up in midair and crashed.,"(31.899007, 73.274851)",31.68452266721123,74.91333745071837,"Pindi-Khut ,India",Pakistan,not correct location
850,859,05/10/1946,1946,,"Munson, Florida",Military U.S. Navy / Military - U.S. Navy,,PBY4-2 Privateer / PB4Y-2 Privateer,Other,,,28.0,,,28,,,0.0,Collided in midair while a fighter made practice diving maneuvers on the formation.,"(41.534961, -81.244867)",43.394399398342614,-84.37267261516001,United States,United States,correct location
851,860,05/16/1946,1946,01:00,"Richmond, Virginia",Viking Air Transport,Richmond - Atlanta,Douglas DC-3,Douglas,NC53218,19626,27.0,25.0,2.0,27,25.0,2.0,0.0,"Engine trouble after takeoff forced the crew to return to Richmond. While the crew was attempting to land a second time, an engine was shut down because it was running rough. The pilot apparently shut down the wrong engine. The plane stalled and crashed to earth, nose first. Inability of the crew to maintain adequate control of the aircraft to effect an emergency single-engine instrument approach under adverse weather conditions.","(40.589886, -74.151842)",33.36210016969246,-72.26396824330375,United States,United States,correct location
852,861,05/22/1946,1946,13:00,"Oslo, Norway",DNL Norwegian Air Lines,Oslo - Stockholm,Junkers JU-52/3m,Junkers,LN-LAB,6048,14.0,11.0,3.0,13,10.0,3.0,0.0,Crashed into Oslo Fjord shortly after takeoff. Engine trouble forced the plane back but it stalled and crashed into trees and a house.,"(59.974453, 10.735045)",64.05458437778549,11.01902476852603,Norway,Norway,correct location
853,862,06/01/1946,1946,07:40,"Amalfi, Italy",Military - U.S. Army Air Forces,Cairo - Rome,Douglas C-54-DO (DC-4),Douglas,44-9078,27304,38.0,30.0,8.0,30,26.0,4.0,0.0,"A fire of undetermined origin erupted in the cockpit. The crew  was unable to control the smoke and flames, lost control and the aircraft and crashed. Eight aboard parachuted to safety.","(6.91016, -75.07764)",4.591544622101377,-73.74911788693387,Italy,Colombia,not correct location
854,863,06/09/1946,1946,10:30,"Taboga Island, Panama",Military - U.S. Army Air Forces,,Douglas C-54D-DC (DC-4),Douglas,43-17231,22181,23.0,17.0,6.0,23,17.0,6.0,0.0,Crashed into a summit after flying below the prescribed altitude.,"(64.779262, -18.673522)",61.17354854656087,-24.82799278806846,Panama,Iceland,not correct location
855,864,06/09/1946,1946,13:15,"Abeokuta, Nigeria",Military -Royal Air Force,Kano - Ikeja,Douglas C-47 Dakota,Douglas,KG747,25291,18.0,12.0,6.0,18,12.0,6.0,0.0,"Flying low to avoid poor weather, the aircraft crashed while en route from Kano to Ikeja.","(7.146737, 3.371416)",13.900782416622938,10.947091957296234,Nigeria,Nigeria,correct location
856,865,06/29/1946,1946,,Malaya,Military - Royal Air Force,,Douglas C-47B,Douglas,KJ918,14641/26086,18.0,,,18,,,0.0,Disappeared.,"(-2.98333, 33.51667)",-1.4921600305842508,33.05153944947721,Malaya,Tanzania,not correct location
857,866,06/29/1946,1946,,"Pau, France",Air France,,Junkers Ju-52/3m,Junkers,F-BAJS,AAC020,3.0,0.0,3.0,2,0.0,2.0,0.0,The cargo  plane struck power lines and crashed while attempting to take off.,"(43.312063, -0.352943)",48.18246141043003,6.970570964061145,France,France,correct location
858,867,07/09/1946,1946,20:10,"Holyoke, Massachusetts",Military - U.S. Army Air Forces,,Boeing B17G,Boeing,43-39136,,25.0,21.0,4.0,25,21.0,4.0,0.0,Struck a slope on Mt. Tom during an approach to land at Westover Field.,"(42.202392, -72.645284)",43.7973776648113,-69.80086828681965,United States,United States,correct location
859,868,07/11/1946,1946,,"Reading, Pennsylvania",Trans Continental and Western Air,Training flight,Lockheed L-049 Constellation,Lockheed,NC86513,2040,6.0,0.0,6.0,5,0.0,5.0,0.0,"The flight crashed due to an in-flight fire caused by failure of a generator lead-through stud installation in the baggage compartment causing intense heat due to electrical arching, ignition of fuselage insulation and  creation of smoke rendering the crew incapable of controlling the aircraft. The plane crashed into powerlines and trees and burst into flames. The accident led to a 30-day grounding of all L-049s. The plane was named Star of Lisbon. Training flight.","(51.45293, -0.982898)",50.848095520654745,-0.4380864326128475,United States,United Kingdom,not correct location
860,869,07/13/1946,1946,,"Tsinan, China",Central Air Transport,,Curtiss C-46,Curtiss,,,49.0,47.0,2.0,13,11.0,2.0,0.0,The aircraft crashed 1 mile from the airfield shortly after takeoff due to engine failure.,"(22.378941, 114.107141)",24.044768454740865,114.47657942454785,China,China,correct location
861,870,07/17/1946,1946,,"Cuenca, Ecuador",ANDESA,Guayaquil - Cuenca,Curtiss C-46D-10-CU,Curtiss,HC-SCA,32982,30.0,27.0,3.0,30,27.0,3.0,0.0,Overshot the runway. The pilot was unable to regain altitude and the plane crashed into a hill and burst into flames.,"(40.068426, -2.137)",41.3049362400046,-4.738742708435524,Ecuador,Spain,not correct location
862,871,07/18/1946,1946,21:10,"Goodland, Kansas",Military - U.S. Army Air Corps,Topeka - Denver,Douglas C-47,Douglas,,,13.0,10.0,3.0,13,10.0,3.0,0.0,Crashed into a field during a thunder and lightning storm.,"(39.346049, -101.709343)",38.591121770217676,-95.51991125859357,United States,United States,correct location
863,872,07/20/1946,1946,12:15,the Panama coast,Military -  (2) U.S. Army Air Forces,,Boeing B-17G / Boeing B-17G,Boeing,4485624/4485626,,20.0,,,20,,,0.0,"The two aircraft collided in midair, 20 miles north of the Panamanian island of Coiba while searching for a missing plane. Ten died aboard each aircraft.","(8.974312, -79.516333)",11.587177205264858,-82.09241694891071,the Panama coast,Panama,not correct location
864,873,07/25/1946,1946,,"Bassein, Burma",Military -Royal Air Force,,Douglas C-47 Dakota,Douglas,KN585,33219,22.0,18.0,4.0,22,18.0,4.0,0.0,Crashed into a swamp soon after taking off after suffering structural failure of the left wing in adverse weather conditions.,"(58.145568, 26.976011)",53.514272531793445,35.017749154901374,Burma,Estonia,not correct location
866,875,08/07/1946,1946,,"Oslo, Norway",British European Airways,Northolt - Oslo,Douglas C-47A-10-DK,Douglas,G-AHCS,12348,16.0,11.0,5.0,3,0.0,3.0,0.0,"Flew into trees on Mistberget mountain at 2,000ft. while on approach to Oslo. Pilot error. Descended too early.  Inexperience in radio range flying and inadequate equipment.","(59.974453, 10.735045)",54.870188151851146,10.707622378676215,Norway,Norway,correct location
867,876,08/09/1946,1946,,"Lakehurst, New Jersey",Atlantic Central Airlines,Atlantic City - Newark,Lockheed 18-56 Lodestar,Lockheed,,,6.0,4.0,2.0,4,2.0,2.0,0.0,Crashed and burned while attempting to glide in for an emergency landing at Lakhurst Field.,"(40.013336, -74.321473)",44.86820633208757,-77.04795041716395,United States,United States,correct location
868,877,08/14/1946,1946,,"Malta-Luqa, Malta",BOAC,,Douglas C-47A,Douglas,G-AGHT,10103,5.0,0.0,5.0,1,0.0,1.0,0.0,"The port engine and, later, the starboard engine failed as the result of fuel starvation. Circumstantial evidence suggests strongly that this was caused by the inadvertent selection of the auxiliary fuel tanks which at that time contained only a small amount of fuel.","(35.860914, 14.48879)",29.97587414031092,10.904659381617787,Malta,Malta,correct location
869,878,08/20/1946,1946,06:15,"Rouen, France",British Overseas Airways,Palestine - London,Avro 691 Lancastrian 1,Avro,G-AGMF,1186,9.0,0.0,9.0,8,0.0,8.0,0.0,Descended through clouds and crashed. Premature descent by the crew without establishing their position.  Training flight.,"(49.439185, 1.092472)",42.45336527856398,2.1071179632927013,France,France,correct location
870,879,08/21/1946,1946,04:19,"Moline, Illinois",Trans Luxury Airlines,Teterboro - Chicago - San Francisco,Douglas C-47-DL,Douglas,N51878,4542,25.0,22.0,3.0,2,0.0,2.0,0.0,"While the aircraft was flying near Moline, the No. 1 engine failed. The prop was feathered and a descent initiated for an emergency landing.The aircraft overshot the landing and a  go-around was executed. A left turn was made with the gear and flaps extended. The left wing touched the ground and the aircraft cartwheeled. The engine failure was caused by a No. 5 cylinder fracture.","(41.494534, -90.487263)",41.34780332643067,-88.89928778942208,United States,United States,correct location
871,880,08/24/1946,1946,,"Cairo, Egypt",Misrair,,Avro Anson,Avro,SU-ADJ,1272,9.0,,,6,,,0.0,Crashed and caught fire.,"(30.079694, 31.323437)",33.03227655764109,29.538245147593678,Egypt,Egypt,correct location
872,881,08/31/1946,1946,,"Prince Rupert, British Columbia, Canada",Queen Charlotte Airlines,Stewart - Prince Rupert,Supermarine Stranraer (flying boat),Other,CF-BYL,,7.0,3.0,4.0,7,3.0,4.0,0.0,Crashed in Chatham Sound while preparing to land in heavy fog.,"(54.282568, -130.316374)",53.23916939202397,-130.4867297157552,Canada,Canada,correct location
873,882,09/03/1946,1946,17:00,"Holtug, Denmark",Air France,Copenhagen - Paris,Douglas DC-3 (C-53D-DO),Douglas,F-BADB,11714,22.0,17.0,5.0,22,17.0,5.0,0.0,"Shortly after takeoff, the aircraft crashed into a field 40 miles south of Copenhagen, exploding and bursting into flames. One of the engines had caught fire prior to the crash resulting from a fuel leak.","(55.34098, 12.40744)",40.93383469253528,15.338526739167545,Denmark,Denmark,correct location
874,883,09/04/1946,1946,09:15,"Le Bourget, France",Air France,Paris - Croydon,Douglas DC-3,Douglas,F-BAXD,42975,26.0,21.0,5.0,20,18.0,2.0,1.0,Lost altitude after losing an engine on takeoff  and crashed into a factory yard.,"(48.936278, 2.427371)",45.98156044113989,6.041223282717329,France,France,correct location
875,884,09/05/1946,1946,02:00,"Elko, Nevada",Trans-Luxury Airlines,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),Douglas,NC57850,9214,22.0,19.0,3.0,21,18.0,3.0,0.0,The aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at Elko Airport. A two-year-old boy was the only survivor. The pilot continued the approach after losing visual contact with the airport due to fog. Unfamiliarity of the pilot with the terrain. Insufficent fuel aboard to proceed to an alternate landing site.,"(40.832322, -115.770579)",44.734316712032054,-120.65602848137482,United States,United States,correct location
