,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
1799,1800,1811,03/15/1960,1960,,"El Refugio, Colombia",Agencia Interamericana de Aviada,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,Consolidated,HK-1001E,,13.0,10.0,3.0,6,4.0,2.0,0.0,Crashed in the jungle  en route.,"(20.673322, -103.73823)",20.673322,-103.73823,21.729515946274528,-101.93680417583772
1800,1801,1812,03/16/1960,1960,19:40,"Nagoya, Japan",All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,Douglas,JA-5018,6006,40.0,35.0,5.0,5,3.0,2.0,0.0,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,"(35.150343, 136.92629)",35.150343,136.92629,37.09423854717383,134.37572625224166
1801,1802,1813,03/17/1960,1960,15:25,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,Chicago - Miami,Lockheed 188C Electra,Lockheed,N121US,1057,63.0,57.0,6.0,63,57.0,6.0,0.0,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,"(37.909905, -86.739705)",37.909905,-86.739705,37.922610262423724,-86.79877826674789
1802,1803,1814,03/19/1960,1960,11:10,"Cordoba, Colombia",SAMSA,San Andres - Medellin,Curtiss C-46,Curtiss,HK-516,2927/384,46.0,42.0,4.0,25,22.0,3.0,0.0,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.","(-31.428579, -64.184884)",-31.428579,-64.184884,-32.6741637334011,-63.427181181776014
1803,1804,1815,04/05/1960,1960,14:39,"Siuna, Nicaragua",Lanica,Siuna - Bonanza,Curtiss C-46A-40-CU,Curtiss,AN-AIN,26945,18.0,14.0,4.0,2,1.0,1.0,0.0,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,"(13.73321, -84.77725)",13.73321,-84.77725,13.932595749465337,-86.70764310962421
1804,1805,1816,04/12/1960,1960,14:20,"Pelotas, Brazil",Cruzeiro,JaguarÃ£o - Rio Grande - Pelotas - Porto Alegre,Douglas DC-3,Douglas,PP-CDS,4823,22.0,19.0,3.0,10,8.0,2.0,0.0,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.","(-31.730376, -52.331287)",-31.730376,-52.331287,-33.67886745380692,-54.28732973922459
1805,1806,1817,04/14/1960,1960,,"Taipei,Taiwan",Military - Royal Thai Air Force,Taipei - Bangkok,Douglas DC-4,Douglas,,42919,18.0,,,18,,,0.0,Struck Mt Wuzhi located 8 km northeast of the airport.,"(25.04776, 121.53185)",25.04776,121.53185,25.070040576156373,120.43895547967954
1806,1807,1818,04/18/1960,1960,,"Stephenville, Newfoundland",Military - U.S. Air Force,Dover-Stephenville - Lajes - Mildenhall,Douglas C-124C Globemaster,Douglas,52-1062,43971,9.0,,9.0,9,,9.0,0.0,Failed to gain altitude on take off and struck a hill.,"(48.55001, -58.5818)",48.55001,-58.5818,47.279301828327306,-62.6594488617295
1807,1808,1819,04/19/1960,1960,20:48,"Bogota, Colombia",Lloyd Aereo Colombiano,Miami - Medellin - Bogota,Curtiss C-46,Curtiss,HK-390,32954,51.0,44.0,7.0,37,31.0,6.0,0.0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,"(4.635456, -74.08768)",4.635456,-74.08768,4.9540887599218335,-73.318832985638
1808,1809,1820,04/20/1960,1960,13:06,"Hickory, North Carolina",Piedmont Airlines / Private,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,Fairchild,N2704R/N1807H,17,44.0,39.0,5.0,4,3.0,1.0,0.0,"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.","(35.743018, -81.328977)",35.743018,-81.328977,32.38827550309635,-84.83142924472712
1809,1810,1821,04/22/1960,1960,07:55,"Bunia, Belgian Congo",Sobelair SA (Belgium),Brussels - Rome - Cairo - Bunia,Douglas C-54B,Douglas,OO-SBL,3099,35.0,28.0,7.0,35,28.0,7.0,0.0,Crashed into the slope of Bogoro Peak located about 8 km short of runway.while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.,"(1.55941, 30.25224)",1.55941,30.25224,-0.25031459276812273,32.250842885315244
1810,1811,1822,04/28/1960,1960,08:22,"Near Calabozo, Venezuela",Linea Aeropostal Venezolana,Maiquetia - Calabozo,Douglas DC-3,Douglas,YV-C-AFE,15353/26798,13.0,9.0,4.0,13,9.0,4.0,0.0,The aircraft crashed after an explosion aboard. Detonation of a hand-grenade brought aboard by a Russian immigrant. The explosion occurred after the captain tried to disarm the man.,"(8.92416, -67.42929)",8.92416,-67.42929,8.690388568167076,-67.89637413885814
1811,1812,1823,05/15/1960,1960,22:57,"Jebel Marra, Sudan",Balair,Niamey - Khartoum,Douglas DC-4-1009,Douglas,HB-ILA,43072,12.0,5.0,7.0,12,5.0,7.0,0.0,"Crashed into 8,000 ft. Mt. Marra. Navigation error by the crew who were using an astrofix to estimate their position.","(12.974571, 24.642472)",12.974571,24.642472,12.693221915960956,23.71940477526946
1812,1813,1824,05/18/1960,1960,15:30,"El Sosneado, Argentina",Transamerican Air Transport,Buenos Aires - Santiago de Chile - Lima,Curtiss C-46,Curtiss,LV-GGJ,22554,9.0,5.0,4.0,9,5.0,4.0,0.0,Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.,"(-35.07831, -69.58727)",-35.07831,-69.58727,-33.97268585472268,-67.09634951557665
1813,1814,1825,05/23/1960,1960,11:52,"Atlanta, Georgia",Delta Air Lines,Training,Convair CV-880,Convair,N8804E,22-00-16,4.0,0.0,4.0,4,0.0,4.0,0.0,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery.","(33.769805, -84.414581)",33.769805,-84.414581,31.809995425211884,-86.38313822590663
1814,1815,1826,06/10/1960,1960,10:55,"Nea Tkvarcheli, Georgia",Aeroflot,Kutaisi - Rostov-on-Don,Ilyushin IL-14P,Ilyushin,CCCP-91571,7343107,31.0,24.0,7.0,31,24.0,7.0,0.0,The plane crashed in hillside woods while en route. Poor organization and overseeing the preparation of the flight by the crew.,"(37.94504, 23.71416)",37.94504,23.71416,39.04664509423569,25.530909204726676
1815,1816,1827,06/10/1960,1960,22:05,"Off  Mackay, Qld. Australia",Trans Australia Airlines,Rockhampton - MacKay,Fokker F-27 Friendship 100,Fokker,VH-TFB,10112,29.0,25.0,4.0,29,25.0,4.0,0.0,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.","(-21.144192, 149.182075)",-21.144192,149.182075,-20.664013295985157,153.1022932150958
1816,1817,1828,06/14/1960,1960,04:47,"Mt. Gilbert, Alaska",Pacific Northern Airlines,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,Lockheed,N1554V,2555,14.0,9.0,5.0,14,9.0,5.0,0.0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.","(33.91667, 35.66667)",33.91667,35.66667,31.44156005315119,39.395213753966125
1817,1818,1829,06/24/1960,1960,18:30,"Rio de Janeiro, Brazil",REAL,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,Convair,PP-YRB,191,54.0,49.0,5.0,54,49.0,5.0,0.0,Crashed into Guanabara Bay during approach. Cause undetermined.,"(-22.935024, -43.518246)",-22.935024,-43.518246,-21.696833429719554,-41.53621864858127
1818,1819,1830,07/06/1960,1960,14:30,"Off Barnegat City, New Jersey",Military - U.S. Navy,,Goodyear ZPG-3W (airship),Other,144242,,21.0,,,18,,,0.0,"The airship crashed nose-first into the Atlantic Ocean, 10 miles off the coast of New Jersey. The  failure of a seam due to some unknown factor that degraded the adhesive.","(51.513263, -0.089878)",51.513263,-0.089878,50.73448776981937,-0.6424748053236433
1819,1820,1831,07/10/1960,1960,10:30,Persian Gulf,Gulf Aviation (Kalinga Airways),BahraÃ¯n - Doha - Sharjah,Douglas DC-3,Douglas,VT-DGS,4273,20.0,16.0,4.0,20,16.0,4.0,0.0,Crashed into the Persian Gulf while en route. Cause undetermined. Wreckage never found.,"(21.759528, 83.695011)",21.759528,83.695011,18.552576725361234,82.67220378987429
1820,1821,1832,07/11/1960,1960,11:45,"Near Quito, Ecuador",Military - U.S. Misson,Bogota - Quito,Douglas C-47B-DK,Douglas,45-1109A,34379,18.0,14.0,4.0,18,14.0,4.0,0.0,Crashed and burned on Mt. Pichincha as it prepared to land at Quito.,"(-0.22985, -78.52495)",-0.22985,-78.52495,-2.7849496228453754,-76.87692540697138
1821,1822,1833,07/14/1960,1960,04:30,"Off Manila, Philippines",Northwest Orient Airlines,Okinawa - Manila,Douglas DC-7C,Douglas,N292,45462/925,58.0,51.0,7.0,1,1.0,0.0,0.0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.","(14.593819, 120.992302)",14.593819,120.992302,13.782250007187642,125.13924824189694
1822,1823,1834,07/15/1960,1960,09:40,"Near Jima, Ethiopia",Ethiopian Airlines,Bulchi - Jimma,Douglas DC-3,Douglas,ET-T-18,12926,11.0,8.0,3.0,1,0.0,1.0,0.0,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.","(7.66667, 36.83333)",7.66667,36.83333,8.878143326107573,35.766566414988034
1823,1824,1835,07/16/1960,1960,15:38,"Copenhagen, Denmark",Flyve Tjenesten,Copenhagen - Herning,de Havilland DH-89 Dragon Rapide,deHavilland,OY-DZY,6956,9.0,8.0,1.0,8,8.0,0.0,0.0,"The twin engine aircraft was chartered by the Danish Football Association. In the initial climb the pilot lost control of the plane and crashed into the ocean 50 meters off shore. Eight members of the Daniish Soccer Association were killed, while the pilot survived, but lost a leg. The pilot suffered spatial disorientation in heavy rain and strong crosswinds. The plane was not equipped with wipers which was considered as a contributing factor to the accident.","(55.704438, 12.502119)",55.704438,12.502119,54.095392726599655,14.945977486293554
1824,1825,1836,07/19/1960,1960,13:45,"Near Goma, Zaire",Military - Royal Belgian Air Force,,Fairchild C-119G,Fairchild,CP-36,,41.0,37.0,4.0,37,33.0,4.0,0.0,Crashed into mountainous terrain north of Lake Kivu after experiencing engine failure.,"(-1.67409, 29.22845)",-1.67409,29.22845,-3.114819927264697,29.801671674852212
1825,1826,1837,07/20/1960,1960,12:30,"Near Syktyvkar, Russia",Aeroflot,Leningrad - Syktyvkar,Ilushin IL-14,Ilyushin,CCCP-61696,147001035,23.0,19.0,4.0,23,19.0,4.0,0.0,Broke up in mid air after flying through a thunderstorm and experiencing heavy g loads.,"(61.669365, 50.815493)",61.669365,50.815493,62.44084486060379,49.09362677777962
1826,1827,1838,07/27/1960,1960,22:38,"Forest Park, Illinois",Chicago Helicopter Airways,,Sikorsky S-58C helicopter,Sikorsky,N879,58420,13.0,11.0,2.0,13,11.0,2.0,0.0,"The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.","(33.62205, -84.36909)",33.62205,-84.36909,34.05767634134304,-85.47232346375408
1827,1828,1839,07/31/1960,1960,11:56,"Near Rimini, Italy",Deutsche Flugdienst,Frankfort - Rimini,Convair CV-240-4,Convair, D-BELU,78,34.0,30.0,4.0,1,1.0,0.0,0.0,"While descending through 5,000ft, the crew lost the No.1 engine. At 1,500 ft. the other engine was also lost. The aircraft crashed 3,300 ft. short of the runway. Failure of both engines on the aircraft.","(44.058417, 12.570671)",44.058417,12.570671,41.20325638576624,10.45180729544064
1828,1829,1840,08/01/1960,1960,,"Near Tipuani, Bolivia",TAM (Bolivia),La Paz - Tipuani,Douglas C-47,Douglas,TAM-09,9030,6.0,4.0,2.0,6,4.0,2.0,0.0,The DC-3 crashed into Hayti Mountain while en route.,"(-15.8, -68.06667)",-15.8,-68.06667,-15.3662570054213,-65.88352359253362
1829,1830,1841,08/17/1960,1960,15:58,"Near Kiev, Ukraine",Aeroflot,Cairo - Moscow,Ilyushin IL-18B,Ilyushin,CCCP-75705,189001702,34.0,27.0,7.0,34,27.0,7.0,0.0,While en route the No. 4.engine caught fire.  The fire extinguishing system was ineffective and the fire spread to the wing after which the fuel tanks exploded and the plane crashed.,"(50.469863, 30.431971)",50.469863,30.431971,47.76109242441986,34.27630563733843
1830,1831,1842,08/17/1960,1960,23:45,"Near El Kelaa, Morocco",Military - French Naval Aviation,,Avro Lancaster 1,Avro,WU-26,,20.0,15.0,5.0,20,15.0,5.0,0.0,"Cashed while en route to Casablanca after experiencing an engine fire. Shortly after, the plane crashed in flames on a hilly terrain near El KelÃ¢a des Sraghna.","(32.17178, -8.73357)",32.17178,-8.73357,31.535763732518443,-13.880933752255332
1831,1832,1843,08/24/1960,1960,,"Off Heraklion, Greece",Don Everall Aviation,"Heraklion, Greece - Cairo, Egypt",Vickers 634 Viking 1B,Vickers,G-AMNK,210,3.0,0.0,3.0,3,0.0,3.0,0.0,"The cargo plane took off, lost an engine, banked to the left and crashed into the ocean. The cause of the engine failure was not established but the most likely reason appears to be a defective fuel or ignition system. The reason why it was not possible for the aircraft to maintain safe flight after the failure of the engine remains unknown.","(35.331068, 25.132863)",35.331068,25.132863,36.263881919067224,25.511617844199975
1832,1833,1844,08/29/1960,1960,06:47,"Off Dakar, Senegal",Air France,Paris - Dakar - Monrovia - Abidjan,Lockheed 1049G Super Constellation,Lockheed,F-BHBC,4622,63.0,55.0,8.0,63,55.0,8.0,0.0,"The aircraft crashed into the Atlantic Ocean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.","(14.713018, -17.454726)",14.713018,-17.454726,18.783499148375483,-20.186345648163872
1833,1834,1845,09/02/1960,1960,17:10,"Near Zikhnovo, Russia",Aeroflot,	Arkhangelsk - 	Cherepovets,Ilyushin IL-14P,Ilyushin,CCCP-04200,1470 014 18,18.0,13.0,5.0,18,13.0,5.0,0.0,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,"(58.6472, 34.18502)",58.6472,34.18502,58.01911703520106,34.588048534026015
1834,1835,1846,09/07/1960,1960,09:40,"Near Salto, Uruguay",Aerolineas Argentinas,Asuncion - Buenos Aires,Douglas DC-6,Douglas,LV-ADS,43031/127,31.0,25.0,6.0,31,25.0,6.0,0.0,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.","(-31.38333, -57.96667)",-31.38333,-57.96667,-29.232613457664844,-59.22335855203158
1835,1836,1847,09/19/1960,1960,06:02,"Agana, Guam, Mariana Islands",World Airways,Guam - Wake Island,Douglas DC-6AB,Douglas,N90779,44914/646,94.0,86.0,8.0,80,73.0,7.0,0.0,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.","(13.496472, 144.733886)",13.496472,144.733886,16.665178946834523,141.30457326371337
1836,1837,1848,09/22/1960,1960,14:10,"Off Naha, Okinawa",Military - U.S. Navy,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,Douglas,56541,,29.0,26.0,3.0,29,26.0,3.0,0.0,The plane crashed after transmitting a message that the No. 3 engine was on fire and they were diverting to Okinawa. The fire in the No. 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion.,"(26.211638, 127.693438)",26.211638,127.693438,26.09577970798137,128.7323981406013
1837,1838,1849,09/22/1960,1960,,"Campbell Lake, Quebec Canada",Wheeler Airlines,Campbell Lake - St Jovite,Noorduyn Norseman,Other,CF-FOJ,N29-32,4.0,3.0,1.0,3,2.0,1.0,0.0,"Shortly after takeoff from Campbell Lake, while climbing, the single engine aircraft stalled and crashed in flames in a wooded area. The pilot and two passengers were killed while a third passenger was seriously injured.  Engine failure.","(38.931713, -84.36621)",38.931713,-84.36621,38.999842764859146,-84.37532449062603
1838,1839,1850,09/26/1960,1960,23:40,"Moscow, Russia",Austrian Airlines,Warsaw - Moscow,Vickers Viscount 837,Vickers,OE-LAF,437,37.0,31.0,6.0,31,26.0,5.0,0.0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.","(55.741469, 37.615561)",55.741469,37.615561,61.12161372427288,38.862488007595836
1839,1840,1851,09/28/1960,1960,,"Near Juchetipec, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),Douglas,XA-HUS,7388,18.0,15.0,3.0,8,5.0,3.0,0.0,"Crashed on the slopes of a mountain near Juchitepec, about 40 km south of Mexico City Airport in dense fog.","('', '')",,,,
1840,1841,1852,09/29/1960,1960,12:15,"Off Elba, Italy",United Arab Airlines,Geneva - Rome,Vickers Viscount 739B,Vickers,SU-AKW,427,21.0,17.0,4.0,21,17.0,4.0,0.0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,"(43.012527, -83.401564)",43.012527,-83.401564,43.8184631401351,-80.4170805338165
1841,1842,1853,10/04/1960,1960,17:40,"Boston, Massachusetts",Eastern Air Lines,Boston - Philadelphia,Lockheed 188A Electra,Lockheed,N5533,1062,72.0,67.0,5.0,62,59.0,3.0,0.0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.","(42.355492, -71.048611)",42.355492,-71.048611,43.447476889630586,-72.27894536659427
1842,1843,1854,10/14/1960,1960,15:50,"Elba, Italy",Itavia,Rome - Genoa,de Havilland DH-114 Heron 2,deHavilland,I-AOMA,14090,11.0,7.0,4.0,11,7.0,4.0,0.0,Hit Mt. Capanne while en route.  Cause unknown.,"(43.012527, -83.401564)",43.012527,-83.401564,40.96595487367732,-84.88628270226548
1843,1844,1855,10/15/1960,1960,,"Plain City, Utah",Capitol Airways,Rapid City - Ogden,Curtiss C-46F,Curtiss,N1300N,22481,2.0,0.0,2.0,2,0.0,2.0,0.0,"The right wing of the cargo plane separated from the aircraft at 6,500 ft. Fatigue of the right wing lower attach angle bolts resulting in an in-flight wing failure.","(41.303752, -112.091311)",41.303752,-112.091311,42.51911206882478,-110.19568475966257
1844,1845,1856,10/21/1960,1960,21:14,"Ust-Orda, Russia",Aeroflot,Moscow - Omsk - Irkutsk - Khabarovsk,Tupolev Tu-104A,Tupolev,CCCP-42452,96601701,3.0,0.0,3.0,3,0.0,3.0,0.0,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,"(49.97143, 82.60586)",49.97143,82.60586,51.62718572216559,81.22447538815386
1845,1846,1857,10/28/1960,1960,11:39,"Near Missoula, Montana",Northwest Orient Airlines,Spokane - Missoula,Douglas C-54A-DC,Douglas,N48762,10320,12.0,8.0,4.0,12,8.0,4.0,0.0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.","(46.850009, -114.019434)",46.850009,-114.019434,47.2264510869489,-114.01823374639707
1846,1847,1858,10/29/1960,1960,22:02,"Toledo, Ohio",Arctic Pacific,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,Curtiss,N1244N,22458,48.0,45.0,3.0,22,20.0,2.0,0.0,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.","(39.869757, -4.035481)",39.869757,-4.035481,39.94841640212338,-3.3043672842953615
1847,1848,1859,10/29/1960,1960,,"Key West, Florida",Cubana de Aviacion,"Havana, Cuba - 	Nueva Gerona",Douglas DC-3,Douglas,,,37.0,34.0,3.0,1,1.0,0.0,0.0,Ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to Key West. A shooting erupted and the air marshall was killed. A total of nine persons were involved in the hijacking.,"(24.560722, -81.769733)",24.560722,-81.769733,26.59128547853774,-83.17576185055762
1848,1849,1860,11/05/1960,1960,,"Bhairawa, Nepal",Royal Nepal Airlines,Bairahawa - Kathmandu,Douglas C-47A,Douglas,9N-AAD,19792,4.0,0.0,4.0,4,0.0,4.0,0.0,"While in  the initial climb, the plane stalled and crashed in a huge explosion.","(27.215252, 82.257171)",27.215252,82.257171,23.119330333924406,81.83379419536034
1849,1850,1861,11/07/1960,1960,,"Near Quito, Ecuador",AREA,Guayaquil - Quito,Fairchild F-27A,Fairchild,HC-ADV,0001A,37.0,34.0,3.0,37,34.0,3.0,0.0,Crashed into a mountain 20 miles south of the airport while on approoach to Quito-Mariscal Sucre Airport.,"(-0.22985, -78.52495)",-0.22985,-78.52495,0.6911871921604038,-77.11764167609462
1850,1851,1862,11/23/1960,1960,18:45,"Manila, Philippines",Philippine Air Lines,Iloilo - Manila,Douglas DC-3,Douglas,PI-C133,13397,33.0,29.0,4.0,33,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,"(14.593819, 120.992302)",14.593819,120.992302,13.41159541347525,121.83373529623047
1851,1852,1863,12/04/1960,1960,22:53," Chernovo, Russia",Aeroflot,	Syktyvkar - Moscow,Ilyushin 14M,Ilyushin,	 CCCP-52091,7342905,14.0,9.0,5.0,14,9.0,5.0,0.0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,"(45.50833, 33.93397)",45.50833,33.93397,44.29391788828583,35.077313473648914
1852,1853,1864,12/07/1960,1960,,"Cachimbo, Brazil",REAL,Cuiaba - Manaus,Curtiss C-46A-60-CK,Curtiss,PP-AKF,295,15.0,13.0,2.0,15,13.0,2.0,0.0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.","(16.03472, -94.04556)",16.03472,-94.04556,14.296195116428008,-93.53073665173416
1853,1854,1865,12/11/1960,1960,19:50,"San Andres de Giles, Argentina",Military - Argentine Air Force,Lima - Antofagasta - El Palomar,Avro 691 Lancastrian IV,Avro,T-102,,31.0,23.0,8.0,31,23.0,8.0,0.0,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.","(-34.44972, -59.44333)",-34.44972,-59.44333,-36.96117068741373,-56.2783560415106
1854,1855,1866,12/16/1960,1960,10:33,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,McDonnell Douglas,N8013U/N6907C,45290 /4021,128.0,116.0,12.0,128,116.0,12.0,6.0,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.","(40.652256, -73.956582)",40.652256,-73.956582,39.06281058635128,-75.26104820830618
1855,1856,1867,12/17/1960,1960,14:10,"Munich, West Germany",Military - U.S. Air Force,"Munich - Northolt AB, England",Convair C-131D (CV-340-79),Convair,55-291,212,20.0,13.0,7.0,20,13.0,7.0,31.0,"The aircraft lost an engine on takeoff from Munich. Unable to maintain altitude, the aircraft crashed into St. Paul's Cathedral church and into a crowded streetcar in the business section of the city, breeching a gas main and starting a fierce fire, Thirty-one people were killed on the ground. A collection of water was found in the fuel tank booster pump. Fuel contamination causing engine failure.","(48.152126, 11.544467)",48.152126,11.544467,49.85818922111465,7.738615837331988
1856,1857,1868,12/22/1960,1960,12:31,"Cebu City, Philippines",Philippine Air Lines,Cebu - Davao,Douglas DC-3,Douglas,PI-C126,20593,37.0,34.0,3.0,28,26.0,2.0,0.0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,"(10.296323, 123.898304)",10.296323,123.898304,9.66874235821437,124.4799031396113
1857,1858,1869,12/26/1960,1960,19:42,"Near Ulyanovsk, Russia",Aeroflot,Kuibyshev - Ulyanovsk,Ilyushin IL-18A,Ilyushin,CCCP-75651,188000405,17.0,13.0,4.0,17,13.0,4.0,0.0,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,"(54.303602, 48.298334)",54.303602,48.298334,55.15385007754954,52.69108949199933
1858,1859,1870,01/02/1961,1961,,"Ruzyne, Czechoslovakia",Ceskoslovenske Aerolinie,Training,Avia 14,Avia,OK-MCZ,105807110,10.0,5.0,5.0,10,5.0,5.0,0.0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff.","(50.095863, 14.285823)",50.095863,14.285823,49.21815726649662,13.522661963659669
