,Unnamed: 0.1,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
465,465,466,471,08/10/1937,1937,04-05,"Daytona Beach, Florida",Eastern Air Lines,Chicago - Daytona,Douglas DC-2,Douglas,NC-13739,1289,9.0,7.0,2.0,4,2.0,2.0,0.0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,"(29.18888, -81.126041)",29.18888,-81.126041,30.298738984528445,-79.87121485748423
469,469,470,475,10/06/1937,1937,12-13,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,Palembang - Singapore,Douglas DC-3,Douglas,PH-ALS,1940,11.0,7.0,4.0,4,1.0,3.0,0.0,"While in initial climb, the left engine failed. The crew decided to return for a safe landing but the aircraft hit  tree tops, stalled and crashed. Bronislaw Hubermann, celibrated Polish violinist was sightly injured.","(-2.976938, 104.734354)",-2.976938,104.734354,-6.480423617451505,106.93560380760134
470,470,471,476,10/17/1937,1937,21-22,"Haydens Peak, Wyoming",United Air Lines,Newark - Chicago - Cheyenne - Salt Lake City - Los Angeles,Douglas DC-3,Douglas,NC16074,1914,19.0,16.0,3.0,19,16.0,3.0,0.0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.","(53.328313, -8.223172)",53.328313,-8.223172,52.91060539740368,-7.622316264567928
471,471,472,477,10/26/1937,1937,04-05,Off Western Africa,Air France,Dakar - Casablanca,Dewoitine D-333,Dewoitine,F-ALQA,01,7.0,2.0,5.0,7,2.0,5.0,0.0,Disappeared after sending a distress call while en route.,"(0.512862, 34.576492)",0.512862,34.576492,0.2427615491560965,36.77554102428731
473,473,474,479,11/12/1937,1937,16-17,"Mannheim, Germany",Deutsche Lufthansa, Berlin - Mannheim,Heinkel He-111,Heinkel,D-AXAV,1830,12.0,9.0,3.0,10,7.0,3.0,0.0,Hit the ground prematurely while attempting to land in fog.,"(49.488789, 8.492765)",49.488789,8.492765,47.93357965200399,5.875836616223009
474,474,475,480,11/16/1937,1937,15-16,"Ostende, Belgium",Sabena,Cologne - Brussels - London,Junkers JU-52/3m,Junkers,OO-AUB,5827,11.0,8.0,3.0,11,8.0,3.0,0.0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather conditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility.","(51.220182, 2.924749)",51.220182,2.924749,51.41542104271469,4.557193277042137
478,478,479,484,12/05/1937,1937,09-10,"Brindisi Harbor, Italy",Imperial Airways,India - London,Short Empire Flying Boat,Short,G-ADUZ,,19.0,13.0,6.0,2,1.0,1.0,0.0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,"(40.65574, 17.98106)",40.65574,17.98106,42.366996444168514,18.46481570994785
480,480,481,486,12/24/1937,1937,17-18,"Kasperske Hory, Czechoslovakia",Air France,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,Other,F-AMYD,11,3.0,1.0,2.0,3,1.0,2.0,0.0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons.","(49.14275, 13.555718)",49.14275,13.555718,48.43612461891473,12.637119188981332
482,482,483,488,01/10/1938,1938,15-16,"Bozeman, Montana",Northwest Orient Airlines,Seattle - Spokane - Butte - Billings - Chicago,Lockheed 14H Super Electra,Lockheed,NC-17388,1407,10.0,8.0,2.0,10,8.0,2.0,0.0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft.","(45.673769, -111.042923)",45.673769,-111.042923,45.3521161791453,-109.0563987071798
483,483,484,489,01/11/1938,1938,08-09,"Pago Pago, U.S. Samoa",Pan American World Airways,Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,Sikorsky S-42 (flying boat),Sikorsky,NC16734,4207,7.0,0.0,7.0,7,0.0,7.0,0.0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed.","(-14.249358, -170.713622)",-14.249358,-170.713622,-14.647989039489865,-173.94857420429562
485,485,486,491,02/02/1938,1938,20-21,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,Training,Consolidated PBY-2 / Consolidated PBY-2,Consolidated,04062 / 0463,,14.0,0.0,14.0,11,0.0,11.0,0.0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea.,"(64.779262, -18.673522)",64.779262,-18.673522,66.02958673758724,-19.33400575438004
488,488,489,494,02/09/1938,1938,07-08,"Marseille, France",Air France,"Marseille, France - Ajaccio, Corsica",LiorÃ©-et-Olivier H-242,Liore et Olivier,F-ANPB,05,12.0,7.0,5.0,8,5.0,3.0,0.0,The flying boat struck the breakwater in fog at 60 miles an hour and burst into flames while attempting to take off.,"(43.295314, 5.401581)",43.295314,5.401581,43.20079351423743,-0.2749090842182893
489,489,490,495,02/13/1938,1938,14-15,Mediterranean Sea,Ala Littoria SA,Cadiz - PollenÃ§a -Alghero - Rome,Cant Z-506,Other,I-ORIA,297,14.0,10.0,4.0,14,10.0,4.0,0.0,Disappeared over the Mediterranean Sea while flying in a storm.,"(35.23763, 23.65656)",35.23763,23.65656,36.04594570802151,22.38181048402417
490,490,491,496,02/22/1938,1938,04-05,"Pontoise, France",Deutsche Lufthansa,"Berlin, Germany - Paris, France",Junkers JU.52,Junkers,D-APAR,4040,3.0,0.0,0.0,3,0.0,0.0,0.0,The mail plane crashed in fog within a few miles of it's destination near Bourget Airport.,"(49.049527, 2.089546)",49.049527,2.089546,45.24158583750884,-0.953062832094942
491,491,492,497,03/01/1938,1938,21-22,"Near Wawona, Cailifornia",Trans Continental and Western Air,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,Douglas,NC13789,1299,9.0,6.0,3.0,9,6.0,3.0,0.0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,"(37.547271, -119.643466)",37.547271,-119.643466,35.548492630099986,-119.05376195954916
494,494,495,500,03/23/1938,1938,07-08,"Corsavy, France",Air France,Dakar - Casablanca - Oran - Toulouse - Paris,Dewoitine D-338,Dewoitine,F-AQBB,02,8.0,5.0,3.0,8,5.0,3.0,0.0,The mail plane crashed into Cinq Croix peak in  the Pyrenees mountains while en route.,"(42.46635, 2.57971)",42.46635,2.57971,42.366657998188174,5.319651163409812
495,495,496,501,04/30/1938,1938,14-15,"Near Formia, Italy",Ala Littoria,Brindisi - Rome,Junkers JU-52,Junkers,I-BAUS,4063,19.0,14.0,5.0,19,14.0,5.0,0.0,Struck cloud obscured Mount Maranola.,"(41.265168, 13.623873)",41.265168,13.623873,42.56962647696474,14.44661582667588
498,498,499,504,05/16/1938,1938,14-15,"Near Saugus, California",Northwest Orient Airlines,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,Lockheed,NC17394,1439,9.0,7.0,2.0,9,7.0,2.0,0.0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames. The crew did not follow the prescribed procedures and was cruising at an unsafe altitude to overfly the mountainous region.","(42.472019, -71.018004)",42.472019,-71.018004,41.953594548450745,-66.98801166304446
499,499,500,505,05/22/1938,1938,13-14,"Sao Paulo, Brazil",Cruzeiro do Sul,Santos - Sao Paulo - Rio de Janeiro - Natal,Junkers JU-52/3m,Junkers,PP-CBC,5453,17.0,14.0,3.0,6,6.0,0.0,0.0,Shortly after taking the plane stalled and crashed into Santos estuary.,"(-23.570533, -46.663713)",-23.570533,-46.663713,-16.939288359522628,-44.02347903338567
500,500,501,506,05/24/1938,1938,22-23,"Cleveland, Ohio",United Air Lines,Newark - Cleveland - Chicago,Douglas DST-A-207A,Douglas,NC18108,1956,10.0,7.0,3.0,10,7.0,3.0,0.0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.,"(41.496551, -81.651327)",41.496551,-81.651327,38.1740559340071,-78.9130671745012
505,505,506,511,07/08/1938,1938,02-03,"Billings, Montana",Northwest Orient Airlines,Seattle - Spokane - Helena - Billings - Fargo,Lockheed 14 Super Electra,Lockheed,NC17383,1402,10.0,8.0,2.0,1,1.0,0.0,0.0,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.","(45.774972, -108.55997)",45.774972,-108.55997,47.885595101547125,-111.23365416301525
506,506,507,512,07/14/1938,1938,08-09,"Off Sardinia, Italy",Ala Littoria,Cagliari - Rome,Savoia Marchetti S-66,Savoia Marchetti,I-VOLO,15013,20.0,16.0,4.0,20,16.0,4.0,0.0,The flying boat crashed into the Tyrrhenian Sea after the collapse of a wing.,"(40.087837, 9.030746)",40.087837,9.030746,41.28881997924081,7.633275841253988
508,508,509,514,07/22/1938,1938,17-18,"Stulpica, Romania",LOT Polish Airlines,"Warsaw, Poland - Bucharest, Romania",Lockheed 14H Super Electra,Lockheed,SP-BNG,1432,14.0,12.0,2.0,14,12.0,2.0,0.0,Crashed in strong turbulence and after being struck by lightning .,"('', '')",,,,
510,510,511,516,07/29/1938,1938,04-05,Pacific Ocean between Manila and Guam,Pan American World Airways,Alameda - Manila,Martin M-130 (flying boat),Martin,NC14714,556,15.0,6.0,9.0,15,6.0,9.0,0.0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper.""","(42.211767, -83.194088)",42.211767,-83.194088,44.9284258249269,-86.82120727083765
513,513,514,519,08/12/1938,1938,12-13,"Near San Andres Tuxtla, VeraCruz, Mexico",Mexicana,Villahermosa - Veracruz - Mexico City,Lockheed 10E Electra,Lockheed,X-ABAS,1043,11.0,8.0,3.0,11,8.0,3.0,0.0,Crashed into a mountain in heavy rain in an area being affected by a hurricane.,"(18.4464, -95.213825)",18.4464,-95.213825,19.35916747060181,-95.17557856732712
514,514,515,520,08/13/1938,1938,11-12,"Kiel, Germany",CSA Czech Airlines,Prague - Strasbourg - Paris,Savoia-Marchetti SM73,Savoia Marchetti,OK-BAG,30040,17.0,14.0,3.0,16,13.0,3.0,0.0,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived but died a day later..,"(54.322148, 10.122597)",54.322148,10.122597,56.845406694500745,10.673097176989709
517,517,518,523,08/18/1938,1938,17-18,"Montnago, Italy",Macchi,Test flight,Macchi C-94,Other,I-NILO,94001,15.0,13.0,2.0,15,13.0,2.0,0.0,The sea plane crashed shortly after taking off on a test flight and sank.,"('', '')",,,,
518,518,519,524,08/24/1938,1938,08-09,"Wangmoon, China",China National Aviation Corporation,Hong Kong - Chungking,Douglas DC-2,Douglas,32,1369,17.0,13.0,4.0,14,12.0,2.0,0.0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military.","('', '')",,,,
520,520,521,526,08/29/1938,1938,23-00,"Near Tucumcari, New Mexico",Transcontinental &Western Air, Burbank - Winslow - Albuquerque,Ford Tri-motor,Ford,NC17316,410,11.0,8.0,3.0,0,0.0,0.0,0.0,"The mail /passenger transport crashed in a field 10 miles south of Tucumcari after penetrating a strong storm. Excessive vibration and loss of power, due to malfunctioning of left engine, consulting in insufficient speed to sustain the aircraft in flight.","(35.178892, -103.720906)",35.178892,-103.720906,32.57076851061117,-106.50822052697968
521,521,522,527,08/29/1938,1938,09-10,"Innisfail, Australia",North Queensland Airways,Townsville - Innisfail - Cairns,De Havilland DH-84,deHavilland,VH-UXK,6053,9.0,8.0,1.0,5,4.0,1.0,0.0,Crashed into a cane field short of the runwa while attempting to land when the pilot swerved to avoid a tractor.,"(-17.521436, 146.02668)",-17.521436,146.02668,-16.025234963546943,147.3606468042887
524,524,525,530,10/10/1938,1938,11-12,"Soest, Germany",Sabena,Brussels - DÃ¼sseldorf - Berlin,Savbia-Marchetti  S-73P,Savoia Marchetti,OO-AGT,4,20.0,16.0,4.0,20,16.0,4.0,0.0,"The aircraft broke-up in midair and crashed to the ground.  A propeller may have broken, tearing loose an engine.","(51.568226, 8.113109)",51.568226,8.113109,49.73309000234046,5.702684532580095
525,525,526,531,10/25/1938,1938,13-14,"Mt. Dandenong, Australia",Australian National Airways,Adelaide - Melbourne,Douglas DC-2-112,Douglas,VH-UYC,1566,18.0,14.0,4.0,18,14.0,4.0,0.0,Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the pilot.,"(-37.83082, 145.356677)",-37.83082,145.356677,-39.47710429962242,148.19433785979268
527,527,528,533,11/04/1938,1938,10-11,"Channel Islands, Jersey",Jersey Airways,Jersey - Southhampton,de Havilland DH-86,deHavilland,G-ACZN,2316,14.0,13.0,1.0,14,13.0,1.0,1.0,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him. The pilot allowed the plane to fall into a side-slip while climbing through a low overcast and at an insufficient altitude for him to regain contol.,"(54.519705, -130.821156)",54.519705,-130.821156,55.91937407938419,-130.54933019055673
528,528,529,534,11/14/1938,1938,18-19,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,Berlin - Amsterdam,Douglas DC-3,Douglas,PH-ARY,2021,19.0,14.0,5.0,6,2.0,4.0,0.0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg. Pilot descended below a safe height during the approach.,"(52.302739, 4.759844)",52.302739,4.759844,50.80317910803199,6.269723781354017
529,529,530,535,11/18/1938,1938,00-01,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,Lockheed,CF-TCL,1475,2.0,0.0,2.0,2,0.0,2.0,0.0,The mail plane crashed several minutes after taking off from Regina,"(50.448205, -104.619116)",50.448205,-104.619116,51.124757648388886,-104.56459158920252
530,530,531,536,11/26/1938,1938,15-16,"Bathurst, Gambia",Deutsche Lufthansa,,Junkers JU90V2,Junkers,D-AIVI,4914,15.0,10.0,5.0,12,9.0,3.0,0.0,During takeoff the aircraft hit a palm tree and burst into flames due to double engine failure.,"(-33.417961, 149.576458)",-33.417961,149.576458,-35.14400373585939,147.53565137246656
532,532,533,538,11/29/1938,1938,05-06,"Off Point Reyes, California",United Air Lines,"Seattle, WA - Medford, OR - Oakland,CA",Douglas DC 3-A-SB-3-G-14,Douglas,NC16066,1907,7.0,4.0,3.0,5,3.0,2.0,0.0,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.","(38.081784, -122.814317)",38.081784,-122.814317,37.78405247121134,-124.10136823767944
533,533,534,539,12/02/1938,1938,07-08,"Mexico City, Mexico",Mexicana,Mexico City - Merida,Lockheed 10E Electra,Lockheed,X-ABAU,1041,8.0,5.0,3.0,8,5.0,3.0,0.0,Crashed and burned on a hill while taking off in foggy conditions. The pilot did not have authorization to take off during poor visibility.,"(19.371422, -99.150344)",19.371422,-99.150344,20.91829301881072,-98.40107822194707
534,534,535,540,12/08/1938,1938,09-10,"Off Kuba Island, Okinawa",Japan Aviation Corporation,Fukuoka - Taihoku,Nakajima A-T2,Other,J-BDOH,1481-1,15.0,12.0,3.0,10,7.0,3.0,0.0,Crashed into the East China Sea after experiencing engine failure.,"(64.779262, -18.673522)",64.779262,-18.673522,64.6046235494504,-17.11302449011529
535,535,536,541,12/09/1938,1938,11-12,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Instructional Flight,Lockheed 14-WF62 Super Electra,Lockheed,PH-APE,1413,4.0,0.0,4.0,4,0.0,4.0,0.0,Whle taking off the aircraft stalled and struck a dyke near Schiphol Airport and caught fire.,"(52.37243, 4.89973)",52.37243,4.89973,50.72389892214631,3.966874268341369
537,537,538,543,01/07/1939,1939,16-17,"Paris, France",Swissair,Zurich - Geneva - Paris,Douglas DC-2-115B,Douglas,HB-ITA,1329,17.0,12.0,5.0,5,2.0,3.0,0.0,The aircraft crashed onto a field losing both wings while attempting to land in low overcast.,"(48.858705, 2.342865)",48.858705,2.342865,49.5859154569258,5.203661186519075
539,539,540,545,01/13/1939,1939,21-22,"Miles City, Montana",Northwest Orient Airlines,Chicago - Seattle,Lockheed 14-H Super Electra,Lockheed,NC17389,1408,4.0,2.0,2.0,4,2.0,2.0,0.0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.","(46.408591, -105.841141)",46.408591,-105.841141,48.50687895125518,-108.51470218606376
540,540,541,546,01/18/1939,1939,07-08,"Katherine, Australia",Guinea Airways,Katherine - Adelaide,Lockheed 14 Electra,Lockheed,VH-ABI,1418,4.0,1.0,3.0,4,1.0,3.0,0.0,"The mail plane failed to gain height after taking off, stalled and crashed into the Katherine River during a storm.","(-14.453207, 132.275151)",-14.453207,132.275151,-14.46249321144982,134.594337252614
541,541,542,547,01/21/1939,1939,12-13,Atlantic Ocean between N.Y. and Bermuda,Imperial Airways,New York City - Bermuda,Short S-23 (flying boat),Short,G-ADUU,S-812,13.0,8.0,5.0,3,2.0,1.0,0.0,"While en route, the aircraft ditched, broke in two  and sank in the Atlantic Ocean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named ""Cavalier.""","(40.743551, -73.973914)",40.743551,-73.973914,39.19236603142395,-74.07290471902236
542,542,543,548,02/12/1939,1939,14-15,"Juneau, Alaska",Marine Airways,Ketchikan - Juneau,Fairchild 71(amphibious),Fairchild,NC9777,618,6.0,5.0,1.0,6,5.0,1.0,0.0,The air taxi encountered low visibility and snow and crashed on Grand Island. The wreckage was found 1 month later,"(58.503052, -134.249544)",58.503052,-134.249544,56.09208658683908,-133.0673403215983
543,543,544,549,02/24/1939,1939,09-10,"Near Roubien, France",Deutsche Lufthansa,"Barcelona, Spain - Rome, Italy",Junkers JU-52/3m,Junkers,D-ALUS,5210,10.0,6.0,4.0,10,6.0,4.0,0.0,"While cruising in bad weather conditions, aircraft hit a mountain near Roubion, in the National Park of Mercantour, 50 km north of Nice. Engine trouble may have factored in the accident, which occurred in adverse weather conditions, with fog and falling snow in the area.","('', '')",,,,
546,546,547,552,03/18/1939,1939,13-14,"Near Adler, Washington",Boeing Aircraft Company,Test flight,Boeing 307 Stratoliner,Boeing,NX19901,1994,10.0,8.0,2.0,10,8.0,2.0,0.0,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin.","(43.426364, 39.924876)",43.426364,39.924876,42.28600913123292,40.39626457975314
547,547,548,553,03/26/1939,1939,14-15,"Oklahoma City, Oklahoma",Braniff Airlines,Chicago - Kansas City - Wichita - Oklahoma City - Dallas,Douglas DC-2-112,Douglas,NC13727,1253,12.0,9.0,3.0,8,7.0,1.0,0.0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.","(35.393761, -97.602513)",35.393761,-97.602513,31.908177400337,-96.38482412783692
550,550,551,556,05/02/1939,1939,15-16,"Near Marrakech, Morocco",Air France,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,Dewoitine,F-ARIC,25,9.0,6.0,3.0,9,6.0,3.0,0.0,Crashed and burned in a mountainous area due to icing.,"(31.622189, -7.991634)",31.622189,-7.991634,29.18730886895144,-3.998505388557096
551,551,552,557,05/08/1939,1939,12-13,"Guayaquil, Ecuador",Military - Ecuadorian Air Force,,Curtiss-Wright C-14 Osprey,Curtiss Wright,,,1.0,0.0,1.0,1,0.0,1.0,22.0,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college.","(-2.189354, -79.889587)",-2.189354,-79.889587,-0.3303489485905539,-76.99961505865774
552,552,553,558,06/06/1939,1939,09-10,"Schiphol, Amsterdam",KLM Royal Duch Airlines,Training,Douglas DC-2,Douglas,PH-AKN,1360,4.0,0.0,4.0,0,0.0,0.0,1.0,"During  a training flight with one engine out,  the crew hit an obstacle and then a sentry-box with 9 soldiers inside. One soldier  died and 3 others were wounded. The aircraft was repaired.","(52.302739, 4.759844)",52.302739,4.759844,56.6585005363231,5.497810153262514
553,553,554,559,06/10/1939,1939,16-17,"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,Haamstede - Vlissingen,Koolhoven FK.43,Other,PH-AJK,4305,3.0,1.0,2.0,3,1.0,2.0,0.0,"The crew  made a steep turn over a beach at too low a speed, stalled and crashed. Two student pilots.were flying the plane.","(51.45374, 3.57637)",51.45374,3.57637,50.056062890204096,3.6380023492489455
555,555,556,561,07/20/1939,1939,18-19,"Konstanz, Switzerland",Swissair,Vienna - Zurich,Junkers JU86 Z-2,Junkers,HB-IXA,086/0951,6.0,4.0,2.0,6,4.0,2.0,0.0,While attempting to land the aircraft crashed after an engine fire caused a loss in air speed and a stall.,"(47.673531, 9.170081)",47.673531,9.170081,45.91289021248591,8.858198601442037
557,557,558,563,08/13/1939,1939,16-17,"Rio de Janerio, Brazil",Pan American World Airways,Miami - Rio de Janerio,Sikorsky S43 (flying boat),Sikorsky,NC16933,4316,16.0,12.0,4.0,14,10.0,4.0,0.0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.","(-22.935024, -43.518246)",-22.935024,-43.518246,-23.062378975977012,-43.9374589008288
558,558,559,564,08/15/1939,1939,13-14,"Off Copenhagen, Denmark",British Airways,London - Hamburg - Copenhagen,Lockheed 10 Electra,Lockheed,G-ASEY,1102,6.0,4.0,2.0,5,4.0,1.0,0.0,"Crashed into the sea after a fire aboard. Leakage of fuel from the overflow boxes, which resulted from overfilling of the fuel tanks.","(55.704438, 12.502119)",55.704438,12.502119,55.98358112615043,15.176241759537056
561,561,562,567,09/26/1939,1939,14-15,North Sea,KLM Royal Dutch Airlines,Copenhagen - Amsterdam,Douglas DC-3,Douglas,PH-ASM,2142,20.0,15.0,5.0,1,1.0,0.0,0.0,One Swedish passenger was killed when the plane was attacked by a German fighter. The plane was able to land safely in Amsterdam.,"('', '')",,,,
562,562,563,568,10/10/1939,1939,07-08," Calarmar, Colombia",Scarta,Barranquilla - Girardot,Junkers W-34,Junkers,C-53,,5.0,3.0,2.0,5,3.0,2.0,0.0,Crashed while en route.,"('', '')",,,,
564,564,565,570,12/18/1939,1939,08-09,South of Gibraltar,Iberia Airlines,Tetouan- Seville - Alicante,Junkers JU-52,Junkers,M-CABA,5854,9.0,6.0,3.0,9,6.0,3.0,0.0,Shot down by a British RAF fighter. Crashed 6 miles south of Europa Point.,"('', '')",,,,
565,565,566,571,12/21/1939,1939,13-14,Off Malta-Luqa,British Airways,Egypt - England,Lockheed 14 Super Electra,Lockheed,G-AFYU,1444,8.0,6.0,2.0,5,3.0,2.0,0.0,"Ditched into the sea, 300 miles NW of Alexandria, Egypt. A ship rescued six survivers.","('', '')",,,,
566,566,567,572,12/24/1939,1939,08-09,"Mogador, Morocco",Linee Aeree Italiane,Rome - Rio de Janerio,Savoia-Marchetti SM83,Savoia Marchetti,I-ARPA,34017,7.0,3.0,4.0,7,3.0,4.0,0.0,Crashed into a mountain  60 km southeast of Mogadorin in  a storm while attempting to make a forced landing.,"('', '')",,,,
569,569,570,575,02/27/1940,1940,10-11,"Near Bucaramanga, Columbia",SCADTA,Bogota - Cucuta,Boeing 247D,Boeing,C-79,,11.0,9.0,2.0,11,9.0,2.0,0.0,"The plane hit a mountain in the Andes  near Tona, northeast of Bucaramanga after the crew lost their bearings in fog.","('', '')",,,,
570,570,571,576,03/01/1940,1940,13-14,Gulf of Oman,Imperial Airways,Calcutta - Jask - Sharjah - Alexandria - London,Handley Page HP-42,Handley Page,G-AAGX,HP42/1,8.0,4.0,4.0,8,4.0,4.0,0.0,"Crashed in the Persian Gulf while en route with out a trace. The aircraft was named ""Hannibal.""","(-7.347793, 145.23418)",-7.347793,145.23418,-6.735943449799742,143.4639526016447
574,574,575,580,06/14/1940,1940,14-15,"Off Prangli Island, Gulf of Finland, Estonia",Aero O-Y," Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,Junkers,OH-ALL,5494,9.0,7.0,2.0,9,7.0,2.0,0.0,"The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named ""Kaleva.""","(64.779262, -18.673522)",64.779262,-18.673522,64.6978088633384,-21.678755662223693
